phrase,recording_count,phrase_type
Country club is a neighborhood of denver,1,Free-Text
After joining the campaign,1,Free-Text
Occupation and corruption feed each other he said,1,Free-Text
The republic of kenya to the south,1,Free-Text
But in late two thousand and five,1,Free-Text
Mike mcgraw contributed to this report,1,Free-Text
The church currently runs a soup kitchen,1,Free-Text
And runs during the office hours,1,Free-Text
Which results in an average of seven,1,Free-Text
Each summer with the helena symphony,1,Free-Text
Said that as far as he knew,1,Free-Text
The ex jesuit john fischer,1,Free-Text
He will soon join you in your struggle,1,Free-Text
Science builds on previous knowledge,1,Free-Text
In comparison to his previous contract,1,Free-Text
Conflict arose from differences in artistic vision,1,Free-Text
Forming the carmel formation,1,Free-Text
With the various county police acts,1,Free-Text
Has seen the picture of his mind,1,Free-Text
The service provides news,1,Free-Text
During the national financial crisis,1,Free-Text
The agency's assessment was unchanged from last month,1,Free-Text
He employs remarkable restraint,1,Free-Text
This was italy's first win in second chance,1,Free-Text
The series was initiated in nineteen ninety three,1,Free-Text
Kim has denied his involvement in corruption allegations,1,Free-Text
Including drinking crude nineteen ninety seven,1,Free-Text
In nineteenth century england,1,Free-Text
I very like china,1,Free-Text
Bishop of hong kong at the time,1,Free-Text
He finally shows up at the hospital,1,Free-Text
During the majority of those years,1,Free-Text
Including the party committee secretary,1,Free-Text
Boeing revived the design for the tender,1,Free-Text
In total the site measures,1,Free-Text
It would be the biggest default in history,1,Free-Text
The medium in which it is accomplished,1,Free-Text
That application will be damaged,1,Free-Text
Scott and the last to hold this office,1,Free-Text
Schneider yeah we just don't like to talk,1,Free-Text
Bush raised twenty dollars,1,Free-Text
Heritage listing and restoration,1,Free-Text
According to hayward et al,1,Free-Text
Hezbollah said there were no casualties,1,Free-Text
Marvin was a huge star,1,Free-Text
In short has the asian boom fizzled,1,Free-Text
The road was opened in eighteen twenty eight,1,Free-Text
Structure and coordination properties,1,Free-Text
A part that he has played five times,1,Free-Text
There are very steep cliffs in this range,1,Free-Text
In a meeting between the group's founding members,1,Free-Text
She asks herself the same questions,1,Free-Text
Space and information operations in the pacific,1,Free-Text
Resulting in her having to move out,1,Free-Text
The first division colombia,1,Free-Text
Humpty Dumpty sat on a wall,1,Free-Text
A british offshore financial centre,1,Free-Text
But upon entering high school,1,Free-Text
Singles collected the seven versions,1,Free-Text
A position jackson had sought,1,Free-Text
The fleet is destroyed during a storm,1,Free-Text
The firm took over paging company,1,Free-Text
From guatemala with one of his armies and,1,Free-Text
Sometimes two or more lived together,1,Free-Text
This pattern of exploitation,1,Free-Text
Due to an increase in population,1,Free-Text
Until the subject reports hearing it,1,Free-Text
Polaroid developed an instant movie system,1,Free-Text
Was born there in nineteen thirty five,1,Free-Text
Is depicted as white in the comic book,1,Free-Text
Parts of wisconsin and illinois,1,Free-Text
Posting his three hundredth career win,1,Free-Text
In beijing during the nineteen nineties,1,Free-Text
And the largest female across,1,Free-Text
Born on sixteen september nineteen thirty one,1,Free-Text
Point blank nineteen seventy six album,1,Free-Text
After that race it was his team mate,1,Free-Text
Looking over the wedding certificate,1,Free-Text
Before meeting his future wife,1,Free-Text
That goal now seems at best more distant,1,Free-Text
Where he worked until the age of eighteen,1,Free-Text
While mafia wars offered the first,1,Free-Text
Reportedly to the thieves themselves,1,Free-Text
Despite the seemingly resolved issues,1,Free-Text
Group plants with similar moisture requirements,1,Free-Text
Eight percent of oil production and two,1,Free-Text
Four years of study after high school,1,Free-Text
Sixteen twenty four in plymouth,1,Free-Text
A man from a hindu background,1,Free-Text
A court spokesman was not available to comment,1,Free-Text
Some twenty million years later,1,Free-Text
Illinois and michigan in the early nineteen eighties,1,Free-Text
Michigan until july two thousand and nine,1,Free-Text
Signed in geneva on september sixteen,1,Free-Text
Youngstown state football game in youngstown,1,Free-Text
Exil Tiroir Rouge Benedictine Brandy,1,Free-Text
The fish has teeth under its tongue,1,Free-Text
This is not your father's gospel choir,1,Free-Text
The division returned to long beach,1,Free-Text
je suis ton pre,1,Free-Text
Like pittsburgh and wheeling,1,Free-Text
Signed locally as main street,1,Free-Text
They are scheduled to depart on saturday,1,Free-Text
Thousands of men were either put in prison,1,Free-Text
He declined to answer any other questions,1,Free-Text
It is a soft round white bread,1,Free-Text
Formerly a tourist attraction,1,Free-Text
Television series and printed media,1,Free-Text
Born two july nineteen seventy three,1,Free-Text
And as of april sixteen,1,Free-Text
Four millions set in twenty ten,1,Free-Text
Visual artist and painter,1,Free-Text
A urine diversion dry toilet,1,Free-Text
She learned how to cook by herself,1,Free-Text
And such research involves adult stem cells,1,Free-Text
And weighs one hundred sixty one pounds,1,Free-Text
Valued for its appearance,1,Free-Text
Appointed in july eighteen forty nine,1,Free-Text
General distribution and trading,1,Free-Text
Donated one hundred fifty dollars,1,Free-Text
Different regions evolved different versions,1,Free-Text
Jewelry and virtually every object conceivable,1,Free-Text
Evasion he added is a prescription for disaster,1,Free-Text
The conference of our lady of hope,1,Free-Text
But confusion delayed it until midnight,1,Free-Text
When alexander was ten years old,1,Free-Text
Shallow bays and submerged timber,1,Free-Text
The People's Republic of China,1,Free-Text
But it suspended its activities in nineteen thirteen,1,Free-Text
Calling it a good episode,1,Free-Text
And despite proving promising in testing,1,Free-Text
Defeated the team of big show and kane,1,Free-Text
Measure of damages under english law,1,Free-Text
Nor tickets printed for the station,1,Free-Text
Annually since two thousand and nine,1,Free-Text
Within a year of his appointment,1,Free-Text
On the afternoon of seventeen december,1,Free-Text
Thomas tom sloan born march five,1,Free-Text
During his time with dundee,1,Free-Text
Nine million on all its programs,1,Free-Text
Three by one hundred ten five,1,Free-Text
Such as we were all uprooted,1,Free-Text
The summit is scheduled in washington next wednesday,1,Free-Text
Was not taken seriously and,1,Free-Text
For the six months ended december thirty,1,Free-Text
Two hundred forty one beach haven,1,Free-Text
And the school's art and literary magazine,1,Free-Text
Medical and light industrial uses,1,Free-Text
The male shout structures,1,Free-Text
Using material from elsewhere,1,Free-Text
The college has fully functional,1,Free-Text
With consistent success in the sixth form,1,Free-Text
Names of apparent turkish origin,1,Free-Text
The final touch is of course a cigar,1,Free-Text
A private institution in manchester,1,Free-Text
Thereby destroying the cartel,1,Free-Text
And its offices were in several buildings,1,Free-Text
Eastern europe and south asia,1,Free-Text
London bridge in literature and popular culture,1,Free-Text
As she has for the past fifteen years,1,Free-Text
At which point they resigned,1,Free-Text
Including its founding and later locations,1,Free-Text
Unlike most revision control systems,1,Free-Text
Measurements every few hours,1,Free-Text
One hundred twenty the first division,1,Free-Text
Or official wins on other professional tours,1,Free-Text
The ordered human soul of virtues,1,Free-Text
Microsoft was slightly more clear in its announcement,1,Free-Text
Wood attended the common schools,1,Free-Text
And to monitor the health of the game,1,Free-Text
The band played shows in england,1,Free-Text
Oliver heritage presents technical articles,1,Free-Text
Pleasure island walt disney world resort,1,Free-Text
National health insurance scheme ghana,1,Free-Text
Which replaces one of the regional trains,1,Free-Text
Although turnout was just thirty six,1,Free-Text
As well as briefings for the foreign press,1,Free-Text
The new beginning on february ten,1,Free-Text
Pilots had already ratified the agreement,1,Free-Text
And she was forced to withdraw,1,Free-Text
Giving buffalo a first down,1,Free-Text
He protected the rich elaine shot back,1,Free-Text
Palestine in the early nineteenth century,1,Free-Text
Illustrated by wayne anthony still,1,Free-Text
The founder of modern vulcan logic,1,Free-Text
First president of erie railroad,1,Free-Text
Covering the unveiling of the sculpture,1,Free-Text
During the birmingham children's crusade,1,Free-Text
They gave food and water to the students,1,Free-Text
From a show taped october ten,1,Free-Text
And reduced her sentence from five to two,1,Free-Text
Casting pieces in bronze or aluminium,1,Free-Text
He has served as mayor on several occasions,1,Free-Text
Marching to link up with cooper,1,Free-Text
The union educational board,1,Free-Text
Melbourne two thousand and six,1,Free-Text
Hoping to be a businessman,1,Free-Text
The district traditionally has elected republicans recently,1,Free-Text
Japan's trade balance with asia in november,1,Free-Text
Just declaring as much miller said isn't enough,1,Free-Text
And sometimes by an anonymous third person voice,1,Free-Text
Joyce is the mother of the main character,1,Free-Text
And then turned down several more roles,1,Free-Text
Namely the black and white era,1,Free-Text
New jersey three in chicago,1,Free-Text
As promised in the white paper,1,Free-Text
A romanian diplomat stationed in london,1,Free-Text
One of the largest residences,1,Free-Text
For some the taping was eye opening,1,Free-Text
Winning the first division twice,1,Free-Text
Encouraged by this feasibility study,1,Free-Text
Score it a triple victory for new zealand,1,Free-Text
In his later years at the white house,1,Free-Text
And i'm not going to church any more,1,Free-Text
On this issue joined by justices ginsburg,1,Free-Text
And real time processing,1,Free-Text
In canada ethanol is blended into gasoline,1,Free-Text
But it has not been without controversy,1,Free-Text
No new teams joined division two,1,Free-Text
This phrase is my password,1,Free-Text
Others said the documents were disturbing,1,Free-Text
Except for the following features,1,Free-Text
They were broken up at their destination,1,Free-Text
Tournament bid automatic from big east conference,1,Free-Text
Twenty eleven on global television network,1,Free-Text
Often in avenue trees over busy urban areas,1,Free-Text
The field test came back negative he added,1,Free-Text
dota is goog game,1,Free-Text
Spain at the nineteen eighty winter olympics,1,Free-Text
While it was apparent that australia,1,Free-Text
Except for special exhibitions,1,Free-Text
Similar to stranded wires,1,Free-Text
We will pursue a private prosecution,1,Free-Text
No candidate could get a majority,1,Free-Text
According to watt and richard bell,1,Free-Text
An effective thermal smoke generator,1,Free-Text
Removed doubts and suspicions,1,Free-Text
Is not a product that improves performance,1,Free-Text
Eight hundred sixty four orders were made,1,Free-Text
Dart container corporation of mason,1,Free-Text
Up through the red sea and persian gulf,1,Free-Text
But its foundation was laid,1,Free-Text
John harvey of sports illustrated,1,Free-Text
Canada took over his position,1,Free-Text
The majority of whom are persian,1,Free-Text
In very much the same style,1,Free-Text
The back bone of the austrian fire service,1,Free-Text
Spending much time together,1,Free-Text
Two defendants were found not guilty thursday,1,Free-Text
And it can be made from wood pulp,1,Free-Text
"If you sell the cow,you sell her milk too.",1,Free-Text
Twenty twelve world club challenge,1,Free-Text
In the new york state guard,1,Free-Text
Then meets a friend at a concert rehearsal,1,Free-Text
As bought from traditional markets,1,Free-Text
Usually constructed with stone,1,Free-Text
Official sources by tradition cannot be named,1,Free-Text
Mcdermott was born in detroit,1,Free-Text
If he chooses the good ending,1,Free-Text
Qualification round third a division,1,Free-Text
And stanford is booked for twenty sixteen,1,Free-Text
A lawyer and an influential judge in boston,1,Free-Text
Which is used for many purposes,1,Free-Text
Between twenty six and twenty seven march,1,Free-Text
The vessel was expected to sail to libya,1,Free-Text
The series resumes at carolina on saturday,1,Free-Text
Self regulation of population sizes,1,Free-Text
The royal couple leaves friday for saudi arabia,1,Free-Text
Olsen has written academic books,1,Free-Text
German settlement in central and eastern europe,1,Free-Text
Aurore et Nathalianne sont mes deux filles,1,Free-Text
Has joined the family business,1,Free-Text
Although the sandwich is unknown in nearby boston,1,Free-Text
Investment capital shows faith in tin,1,Free-Text
Including one with singer michael jackson,1,Free-Text
A stationary weather camera,1,Free-Text
The band toured germany and scandinavia,1,Free-Text
Now known as the group of seventy five,1,Free-Text
Later registered as a political party,1,Free-Text
The presidential office denied the report as groundless,1,Free-Text
Texas is two hundred ninety eight,1,Free-Text
Where he chaired the labor advisory board,1,Free-Text
In preparation for their relocation,1,Free-Text
Twenty three june two thousand and four,1,Free-Text
Beijing join effort to plant trees,1,Free-Text
And one years respectively,1,Free-Text
Relations with west asia middle east,1,Free-Text
Among other key points of the bills are,1,Free-Text
Turkish championship one nineteen twenty two,1,Free-Text
I love to eat pizza,1,Free-Text
Three quarters of which are from women,1,Free-Text
And lent it to margaret mackenzie,1,Free-Text
Chris and ben agree to the idea,1,Free-Text
Where he works as a swimming coach,1,Free-Text
A division of lockheed aircraft,1,Free-Text
Dividend yields on the stocks hit new highs,1,Free-Text
Jackson launched a lawsuit against new line,1,Free-Text
His father the underwear you got on,1,Free-Text
But was unsure over british position,1,Free-Text
He lived mainly in france and belgium,1,Free-Text
European dance kind of album,1,Free-Text
Such as the forward pass,1,Free-Text
Each with forty two servants,1,Free-Text
Premise jamie coleman puts up with them,1,Free-Text
As with many previous governors,1,Free-Text
In philosophy from reed in nineteen sixty one,1,Free-Text
The power to raise and keep an army,1,Free-Text
Multiple item scales however,1,Free-Text
Where she worked as a teacher of swedish,1,Free-Text
I think she only lost confidence,1,Free-Text
But neither match had first class status,1,Free-Text
Even during the play of a hand,1,Free-Text
He tells them his own ghastly story,1,Free-Text
Who lived there for over one hundred years,1,Free-Text
Reaching number forty five in nineteen ninety two,1,Free-Text
There are no outstanding bills boren said,1,Free-Text
